go: go version go1.27.1 linux/amd64; old: github.com/0xCarbon/mori v0.7.0; new: 9f2e968
all-old/plain: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
all-old/compressed: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
all-old/encrypted-labeled: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
all-new/plain: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
all-new/compressed: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
all-new/encrypted-labeled: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
mixed/plain: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
mixed/compressed: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
mixed/encrypted-labeled: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
mixed-rev/plain: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
mixed-rev/compressed: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
mixed-rev/encrypted-labeled: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
---- second run
go: go version go1.27.1 linux/amd64; old: github.com/0xCarbon/mori v0.7.0; new: 9f2e968
all-old/plain: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
all-old/compressed: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
all-old/encrypted-labeled: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
all-new/plain: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
all-new/compressed: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
all-new/encrypted-labeled: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
mixed/plain: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
mixed/compressed: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
mixed/encrypted-labeled: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
mixed-rev/plain: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
mixed-rev/compressed: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
mixed-rev/encrypted-labeled: PASS (membership, meta updates, reliable, best-effort and gossip user messages)
