benchmark                                                        unit                old          new     delta        p n
BenchmarkPortableHandleAlive                                     B/op               3142          592    -81.2%    0.000 10+10
BenchmarkPortableHandleAlive                                     allocs/op          50.0         10.0    -80.0%    0.000 10+10
BenchmarkPortableHandleAlive                                     ns/op              4216          697    -83.5%    0.000 10+10
BenchmarkPortableHandlePing                                      B/op              81736        78486     -4.0%    0.000 10+10
BenchmarkPortableHandlePing                                      allocs/op          62.0         16.0    -74.2%    0.000 10+10
BenchmarkPortableHandlePing                                      ns/op             20798        13815    -33.6%    0.000 10+10
BenchmarkPortableMergeRemoteState                                B/op            1704060       432002    -74.6%    0.000 10+10
BenchmarkPortableMergeRemoteState                                allocs/op         26000         5000    -80.8%    0.000 10+10
BenchmarkPortableMergeRemoteState                                ns/op           1942839       473282    -75.6%    0.000 10+10
BenchmarkPacketIngestAlive                                       B/op               3795         1096    -71.1%    0.000 10+10
BenchmarkPacketIngestAlive                                       allocs/op          61.0         18.0    -70.5%    0.000 10+10
BenchmarkPacketIngestAlive                                       ns/op             67758        59450    -12.3%    0.001 10+10
BenchmarkBroadcastQueue/100                                      B/op               4814         1055    -78.1%    0.000 10+10
BenchmarkBroadcastQueue/100                                      allocs/op           102         7.00    -93.1%    0.000 10+10
BenchmarkBroadcastQueue/100                                      ns/op              4032         1730    -57.1%    0.001 10+10
BenchmarkBroadcastQueue/10000                                    B/op               5853         5535     -5.4%    0.001 10+10
BenchmarkBroadcastQueue/10000                                    allocs/op           123         54.0    -56.1%    0.000 10+10
BenchmarkBroadcastQueue/10000                                    ns/op             10818         6258    -42.1%    0.002 10+10
BenchmarkNetTransportReceive/64                                  B/op              65702        65654     -0.1%    0.000 10+10
BenchmarkNetTransportReceive/64                                  MB/s               3.33         3.71         ~    0.070 10+10
BenchmarkNetTransportReceive/64                                  allocs/op          5.00         4.00    -20.0%    0.000 10+10
BenchmarkNetTransportReceive/64                                  ns/op             19261        17242         ~    0.063 10+10
BenchmarkNetTransportReceive/1400                                B/op              65702        65654     -0.1%    0.000 10+10
BenchmarkNetTransportReceive/1400                                MB/s               74.5         79.6         ~    0.076 10+10
BenchmarkNetTransportReceive/1400                                allocs/op          5.00         4.00    -20.0%    0.000 10+10
BenchmarkNetTransportReceive/1400                                ns/op             18794        17592         ~    0.075 10+10
