benchmark                                                        unit                old          new     delta        p n
BenchmarkPortableHandleAlive                                     ns/op               690          692         ~    0.705 10+10
BenchmarkPortableHandlePing                                      B/op              78487          416    -99.5%    0.000 10+10
BenchmarkPortableHandlePing                                      allocs/op          16.0         10.0    -37.5%    0.000 10+10
BenchmarkPortableHandlePing                                      ns/op             14475          839    -94.2%    0.000 10+10
BenchmarkPortableMergeRemoteState                                B/op             432002       432002         ~    0.406 10+10
BenchmarkPortableMergeRemoteState                                ns/op            473407       457830         ~    0.165 10+10
BenchmarkPortableIngestEncryptedPing                             B/op               3928          656    -83.3%    0.000 10+10
BenchmarkPortableIngestEncryptedPing                             allocs/op          21.0         13.0    -38.1%    0.000 10+10
BenchmarkPortableIngestEncryptedPing                             ns/op              2952         1256    -57.4%    0.000 10+10
BenchmarkPacketIngestAlive                                       ns/op             59214        59313         ~    0.853 10+10
BenchmarkBroadcastQueue/100                                      B/op               1056          992     -6.0%    0.000 10+10
BenchmarkBroadcastQueue/100                                      allocs/op          7.00         7.00         ~    0.077 10+10
BenchmarkBroadcastQueue/100                                      ns/op              1606         1438    -10.5%    0.009 10+10
BenchmarkBroadcastQueue/10000                                    B/op               5556         1227    -77.9%    0.000 10+10
BenchmarkBroadcastQueue/10000                                    allocs/op          54.5         7.00    -87.2%    0.000 10+10
BenchmarkBroadcastQueue/10000                                    ns/op              5608         3510    -37.4%    0.001 10+10
BenchmarkNetTransportReceive/64                                  B/op              65654          180    -99.7%    0.000 10+10
BenchmarkNetTransportReceive/64                                  MB/s               4.21         7.02    +66.5%    0.001 10+10
BenchmarkNetTransportReceive/64                                  ns/op             15187         9118    -40.0%    0.000 10+10
BenchmarkNetTransportReceive/1400                                B/op              65654         1524    -97.7%    0.000 10+10
BenchmarkNetTransportReceive/1400                                MB/s               90.1          142    +58.1%    0.000 10+10
BenchmarkNetTransportReceive/1400                                ns/op             15548         9830    -36.8%    0.000 10+10
